# fps: 10.000000
# x,y,z,qx,qy,qz,qw
0.0522633,0.665862,0.533997,0.378108,-0.179904,0.385067,0.822431
0.0669911,0.668002,0.535621,0.384469,-0.169899,0.358368,0.833601
0.0803854,0.659664,0.526473,0.39003,-0.158271,0.331696,0.844278
0.0832608,0.665788,0.52479,0.396493,-0.147813,0.303858,0.853589
0.0974174,0.676723,0.535626,0.402216,-0.135365,0.276589,0.862204
0.101985,0.664012,0.551076,0.405427,-0.124434,0.248999,0.870715
0.106671,0.653135,0.54657,0.411039,-0.110893,0.220792,0.877497
0.1245,0.648093,0.537022,0.414982,-0.0984975,0.19278,0.883699
0.130035,0.630085,0.530023,0.41965,-0.0860067,0.163789,0.888634
0.13462,0.627124,0.534482,0.423639,-0.0746861,0.13319,0.892867
0.132738,0.614747,0.522372,0.427635,-0.0632193,0.104052,0.895715
0.141944,0.619296,0.524374,0.428553,-0.0507388,0.0768568,0.898811
0.127435,0.580094,0.511937,0.431787,-0.0380518,0.046435,0.899976
0.125287,0.590283,0.512197,0.433989,-0.0273664,0.0170549,0.900341
0.119953,0.60969,0.516296,0.434165,-0.013984,-0.0127031,0.900635
0.13347,0.612363,0.506183,0.434979,0.000164786,-0.0395463,0.899572
0.147013,0.59383,0.504445,0.434091,0.013041,-0.0682829,0.898183
0.139522,0.594613,0.486483,0.432924,0.0258556,-0.09613,0.895917
0.140448,0.590282,0.504108,0.431061,0.0405297,-0.124177,0.892818
0.156424,0.571375,0.508314,0.431617,0.0530863,-0.150869,0.887765
0.140267,0.562359,0.496381,0.431245,0.0661516,-0.180205,0.881577
0.156872,0.565415,0.50702,0.428194,0.0783265,-0.208661,0.875771
0.149895,0.562178,0.500896,0.425536,0.0917615,-0.23748,0.868391
0.146072,0.565788,0.499076,0.422609,0.104145,-0.264655,0.860531
0.144767,0.549854,0.500173,0.41999,0.117199,-0.291579,0.851384
0.133811,0.541122,0.495286,0.41646,0.1291,-0.318044,0.841868
0.12926,0.523246,0.466695,0.412251,0.141511,-0.345933,0.830876
0.135199,0.525298,0.464831,0.406837,0.154867,-0.372983,0.81938
0.126721,0.522848,0.465465,0.401941,0.16828,-0.399557,0.806523
0.142391,0.521619,0.455826,0.395797,0.1806,-0.425813,0.793355
0.138665,0.528385,0.448836,0.390239,0.191239,-0.450396,0.779926
0.110262,0.533706,0.434027,0.383761,0.202804,-0.47399,0.766115
